,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Agent,21,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,22,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Agent,23,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,24,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,25,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Agent,26,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Agent,27,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,28,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,29,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,30,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,31,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,32,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Agent,33,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,34,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
Agent,35,21.0,20.7,20.43,20.187,19.9683,19.77147,19.594323,19.434891,19.291402,19.162261,19.046035,18.941432,18.847289,18.76256,18.686304,18.617673,18.555906,18.500315,18.450284,18.405256,18.36473,18.328257,18.295431,18.265888,18.239299,18.215369,18.193832,18.174449,18.157004,18.141304
